"review.id","review.review_data","review.rating","review.title","review.review","review.verified_purchase","product.position.page","product.position.position","product.position.global_position","product.asin","product.keyword","product.price.discounted","product.price.current_price","product.price.currency","product.price.before_price","product.price.savings_amount","product.price.savings_percent","product.reviews.total_reviews","product.reviews.rating","product.url","product.score","product.sponsored","product.amazonChoice","product.bestSeller","product.amazonPrime","product.title","product.thumbnail"
"cr-translate-477232381",,,"","",false,1,1,"11","B07QX9C9WH","corsair darkcore",false,79.99,"USD",0,0,0,3650,4.6,"https://www.amazon.com/dp/B07QX9C9WH","16790.00",false,true,false,false,"Sponsored Ad - Corsair Nightsword RGB - Comfort Performance Tunable FPS/MOBA Optical Ergonomic Gaming Mouse with Backlit R...","https://m.media-amazon.com/images/I/61a0KNfNNNL._AC_UY218_.jpg"
"R1AXCMUUEOD8V","Reviewed in the United States on October 6, 2021",2,"This mouse is BIG","I have had a Corsair Glaive since 2018 and I LOVE that mouse. I was disappointed to see that it was essentially discontinued. I started having issues with the middle mouse click and the roller wheel, in that the rubber outer sleeve would just slip around the actual wheel, thus not actually doing any scrolling.So I found this mouse and figured it was probably the closest thing to my beloved Glaive. I was wrong. I used this mouse for probably 3 hours before I decided to return it. The biggest issue is the size of the mouse. I have normal sized hands for my size and my thumb can hardly reach the two forward most thumb buttons. In order for my to use the mouse and all of the buttons, I have to hold it at an angle so that my thumb could actually reach the buttons that I use so commonly in most games. I then started to notice my hand aching more. I grabbed my glaive and within 10 seconds on using it, I got relief. This was the deciding factor to return it.The next issue I had was the material feel and quality. The thumb buttons feel very cheap. They have a good amount of play to them before you actually activate the switch, leading to false pressing the buttons and failing your next combo or whatever. This was less of an issue than the fit.So, if you have bigger than average hands, give this mouse a try. It's attractive, works well with iCUE and is highly customizable. But if your hands are a bit too small, go for the Logitech G502 Hero. I had my coworker bring his in so I could see how it felt, and my hand fits it much better. So I will be going to the G502 if my planned disassembly and repair of my Glaive doesn't work.",true,1,1,"11","B07QX9C9WH","corsair darkcore",false,79.99,"USD",0,0,0,3650,4.6,"https://www.amazon.com/dp/B07QX9C9WH","16790.00",false,true,false,false,"Sponsored Ad - Corsair Nightsword RGB - Comfort Performance Tunable FPS/MOBA Optical Ergonomic Gaming Mouse with Backlit R...","https://m.media-amazon.com/images/I/61a0KNfNNNL._AC_UY218_.jpg"
"R12A6SCARLBHWH","Reviewed in the United States on October 5, 2021",1,"It works well but it didn't last.","I've had this mouse for about a year now and it wasworking just fine till recently. The right mouse button stopped working. I feel like this shouldn't have been an issue this early for a mose that costs this much.",true,1,1,"11","B07QX9C9WH","corsair darkcore",false,79.99,"USD",0,0,0,3650,4.6,"https://www.amazon.com/dp/B07QX9C9WH","16790.00",false,true,false,false,"Sponsored Ad - Corsair Nightsword RGB - Comfort Performance Tunable FPS/MOBA Optical Ergonomic Gaming Mouse with Backlit R...","https://m.media-amazon.com/images/I/61a0KNfNNNL._AC_UY218_.jpg"
"R3TWW3JH3SB1NU","Reviewed in the United States on September 30, 2021",5,"Is useable apart from a few things","The sniper button is not programable, or maybe it is with a driver update but in-games they will not allow you to program it to anything.the DPI buttons being on the left side of the left click button can be easily clicked which can screw up aim in an FPS.But at least the mouse functions decently.",true,1,1,"11","B07QX9C9WH","corsair darkcore",false,79.99,"USD",0,0,0,3650,4.6,"https://www.amazon.com/dp/B07QX9C9WH","16790.00",false,true,false,false,"Sponsored Ad - Corsair Nightsword RGB - Comfort Performance Tunable FPS/MOBA Optical Ergonomic Gaming Mouse with Backlit R...","https://m.media-amazon.com/images/I/61a0KNfNNNL._AC_UY218_.jpg"
"R3TN2MPNOATTA0","Reviewed in the United States on September 27, 2021",2,"scroll wheel button broke","brokein 2 months",true,1,1,"11","B07QX9C9WH","corsair darkcore",false,79.99,"USD",0,0,0,3650,4.6,"https://www.amazon.com/dp/B07QX9C9WH","16790.00",false,true,false,false,"Sponsored Ad - Corsair Nightsword RGB - Comfort Performance Tunable FPS/MOBA Optical Ergonomic Gaming Mouse with Backlit R...","https://m.media-amazon.com/images/I/61a0KNfNNNL._AC_UY218_.jpg"
"R2JJRCTPIY8QIB","Reviewed in the United States on September 26, 2021",5,"Nice","Nice",true,1,1,"11","B07QX9C9WH","corsair darkcore",false,79.99,"USD",0,0,0,3650,4.6,"https://www.amazon.com/dp/B07QX9C9WH","16790.00",false,true,false,false,"Sponsored Ad - Corsair Nightsword RGB - Comfort Performance Tunable FPS/MOBA Optical Ergonomic Gaming Mouse with Backlit R...","https://m.media-amazon.com/images/I/61a0KNfNNNL._AC_UY218_.jpg"
"RE8RSLW0FQ39S","Reviewed in the United States on September 21, 2021",3,"Only issue is it sometimes disappears from my desktop only to reappear a few seconds later","Only issue is it sometimes disappears from my desktop only to reappear a few seconds later",true,1,1,"11","B07QX9C9WH","corsair darkcore",false,79.99,"USD",0,0,0,3650,4.6,"https://www.amazon.com/dp/B07QX9C9WH","16790.00",false,true,false,false,"Sponsored Ad - Corsair Nightsword RGB - Comfort Performance Tunable FPS/MOBA Optical Ergonomic Gaming Mouse with Backlit R...","https://m.media-amazon.com/images/I/61a0KNfNNNL._AC_UY218_.jpg"
"RGWHG0CPZPOOM","Reviewed in the United States on September 21, 2021",5,"I’m never getting a different mouse ever!","The Corsair Nightsword RGB is in my opinion the best mouse ever. The material and feel of the mouse is comfortable and from my experience, reduces sweat. The customizable weight makes it the experience of the mouse even better, if you download the corsair icue app on your pc, you can customize the DPI, buttons, and colors on the mouse. The 18,000 DPI sensor is more than enough range of sensitivity tuning. The mouse also has a “sniper” button which can also be fine tuned. Over all I love this mouse and recommend it to anyone who wants a quality mouse for all around use.",true,1,1,"11","B07QX9C9WH","corsair darkcore",false,79.99,"USD",0,0,0,3650,4.6,"https://www.amazon.com/dp/B07QX9C9WH","16790.00",false,true,false,false,"Sponsored Ad - Corsair Nightsword RGB - Comfort Performance Tunable FPS/MOBA Optical Ergonomic Gaming Mouse with Backlit R...","https://m.media-amazon.com/images/I/61a0KNfNNNL._AC_UY218_.jpg"
"RLV69T109HSNM","Reviewed in the United States on September 19, 2021",1,"Been through 4 of these, they keep breaking","Title. Very flimsy, not worth 80 dollars",true,1,1,"11","B07QX9C9WH","corsair darkcore",false,79.99,"USD",0,0,0,3650,4.6,"https://www.amazon.com/dp/B07QX9C9WH","16790.00",false,true,false,false,"Sponsored Ad - Corsair Nightsword RGB - Comfort Performance Tunable FPS/MOBA Optical Ergonomic Gaming Mouse with Backlit R...","https://m.media-amazon.com/images/I/61a0KNfNNNL._AC_UY218_.jpg"
"R2X9ELJO9TRLAW","Reviewed in the United States on September 16, 2021",3,"Good Mouse, Software is hot garbage.","The mouse feels fantastic in my hand, the auxiliary buttons feel good. The software is hot & steamy garbage. Corsair...focus a little more on user requirements and a little less on flashy interface.",true,1,1,"11","B07QX9C9WH","corsair darkcore",false,79.99,"USD",0,0,0,3650,4.6,"https://www.amazon.com/dp/B07QX9C9WH","16790.00",false,true,false,false,"Sponsored Ad - Corsair Nightsword RGB - Comfort Performance Tunable FPS/MOBA Optical Ergonomic Gaming Mouse with Backlit R...","https://m.media-amazon.com/images/I/61a0KNfNNNL._AC_UY218_.jpg"
